step,t_star,outlet_bulk_T_K,max_T_K,min_T_K,energy_closure_pct,mass_imbalance_pct
16900,24.7908,293.9344,329.835,291.516,26.161,0.12174
17000,24.9375,293.9420,329.943,291.516,26.374,0.12174
17100,25.0842,293.9494,330.050,291.516,26.580,0.12174
17200,25.2309,293.9565,330.157,291.516,26.781,0.12174
17300,25.3776,293.9635,330.262,291.516,26.978,0.12174
17400,25.5242,293.9705,330.367,291.516,27.173,0.12174
17500,25.6709,293.9775,330.471,291.516,27.369,0.12174
17600,25.8176,293.9847,330.577,291.516,27.569,0.12174
17700,25.9643,293.9920,330.683,291.516,27.774,0.12174
17800,26.1110,293.9996,330.788,291.516,27.987,0.12174
17900,26.2577,294.0075,330.892,291.516,28.209,0.12175
18000,26.4044,294.0158,330.995,291.516,28.441,0.12175
18100,26.5511,294.0245,331.098,291.516,28.685,0.12175
18200,26.6978,294.0337,331.203,291.516,28.941,0.12175
18300,26.8445,294.0432,331.307,291.516,29.209,0.12175
18400,26.9912,294.0532,331.411,291.516,29.489,0.12175
18500,27.1379,294.0636,331.514,291.516,29.780,0.12176
18600,27.2846,294.0744,331.616,291.516,30.080,0.12176
18700,27.4312,294.0854,331.718,291.516,30.390,0.12176
18800,27.5779,294.0967,331.819,291.516,30.706,0.12176
18900,27.7246,294.1082,331.922,291.516,31.028,0.12176
19000,27.8713,294.1199,332.025,291.516,31.355,0.12176
19100,28.0180,294.1316,332.126,291.516,31.684,0.12176
19200,28.1647,294.1434,332.227,291.516,32.014,0.12176
19300,28.3114,294.1552,332.328,291.516,32.345,0.12177
19400,28.4581,294.1670,332.427,291.516,32.674,0.12176
19500,28.6048,294.1787,332.528,291.516,33.002,0.12176
19600,28.7515,294.1903,332.629,291.516,33.327,0.12177
19700,28.8982,294.2019,332.730,291.516,33.650,0.12177
19800,29.0449,294.2133,332.829,291.516,33.970,0.12176
19900,29.1915,294.2246,332.929,291.516,34.287,0.12177
20000,29.3382,294.2358,333.027,291.516,34.601,0.12176
